Date,Agent_ID,Break[10003],Extended Wrap Up[10048],Go To Logout[10025],Lunch[10001],Undefined[0],CTI Failure[50002],Outbound Calls[32],RONA[32767],Administration[11043],Computer Issues[10030],Meeting[10007],[50003],Training[10005],[32762],[999],Member Facing Work[11494],Missed Tasks[50010]
1/21/21,8,4.7,6.5,0.1,88.6,0.1,,,,,,,,,,,,
1/21/21,13,17.8,13.1,0.1,67.2,1.7,,,0.1,,,,,,,,,
1/21/21,6,11.4,32.3,0.0,55.4,0.9,,,,,,,,,,,,
1/21/21,4,,,0.1,98.6,0.5,,,0.7,,,,,,,,,
1/21/21,5,9.5,24.4,0.1,65.9,0.1,,,,,,,,,,,,
1/21/21,14,,99.3,0.5,,0.3,,,,,,,,,,,,
1/21/21,18,54.0,45.4,0.2,,0.4,,,,,,,,,,,,
1/21/21,14,,96.8,1.6,,1.6,,,,,,,,,,,,
1/22/21,16,34.1,3.1,0.0,55.4,7.4,,,,,,,,,,,,
1/22/21,11,9.2,,0.2,82.5,8.1,,,,,,,,,,,,
1/22/21,7,0.1,21.7,1.6,72.8,3.8,,,0.5,,,,,,,,,
1/22/21,6,10.9,26.7,0.1,62.2,0.1,,,,,,,,,,,,
1/22/21,3,7.3,10.4,0.1,81.8,0.4,,,,,,,,,,,,
1/22/21,4,,,0.1,99.4,0.1,,,0.4,,,,,,,,,
1/22/21,13,27.7,6.3,0.1,63.1,2.5,,,,0.4,,,,,,,,
1/22/21,5,13.9,26.1,0.1,59.7,0.3,,,,,,,,,,,,
1/22/21,18,98.4,,0.5,,1.1,,,,,,,,,,,,
1/22/21,14,,98.0,1.1,,0.9,,,,,,,,,,,,
1/22/21,14,,97.3,1.4,,1.4,,,,,,,,,,,,
1/25/21,4,7.7,2.0,0.1,79.7,10.5,,,0.0,,,,,,,,,
1/25/21,12,11.3,11.8,0.1,76.7,0.2,,,,,,,,,,,,
1/25/21,11,10.3,1.8,0.1,75.5,12.3,,,,0.1,,,,,,,,
1/25/21,16,0.8,7.3,0.1,87.2,4.7,,,,,,,,,,,,
1/25/21,3,5.2,19.4,0.1,70.3,3.6,,1.3,0.1,,,,,,,,,
1/25/21,8,3.6,,0.1,96.1,0.1,,,,,,,,,,,,
1/25/21,7,,7.8,0.1,90.2,1.8,,,0.1,,,,,,,,,
1/25/21,6,4.5,33.7,0.1,60.7,1.0,,,,,,,,,,,,
1/25/21,18,59.3,37.0,0.3,,3.4,,,,,,,,,,,,
1/25/21,14,,99.4,0.3,,0.3,,,,,,,,,,,,
1/25/21,14,,96.7,2.0,,1.3,,,,,,,,,,,,
1/26/21,4,4.1,,0.1,83.0,12.8,,,0.1,,,,,,,,,
1/26/21,12,17.5,5.2,0.1,67.6,0.2,,,0.2,4.6,,4.7,,,,,,
1/26/21,11,9.2,,0.0,38.0,4.5,,,,,,48.3,,,,,,
1/26/21,1,0.2,20.9,0.1,38.5,78.4,,,,,0.7,54.5,,,,,,
1/26/21,2,33.9,,0.1,65.5,0.4,,,,,,,,,,,,
1/26/21,8,4.2,8.3,0.1,87.4,0.1,,0.4,,,,,,,,,,
1/26/21,5,6.4,12.0,0.0,35.3,0.1,,,,,,46.2,,,,,,
1/26/21,13,37.2,3.7,0.1,57.5,1.0,,,0.1,0.5,,,,,,,,
1/26/21,1,11.6,5.6,0.1,82.6,0.1,,,,,,,,,,,,
1/26/21,6,10.8,11.2,0.0,32.0,0.1,,,,45.8,,,,,,,,
1/26/21,18,42.0,57.5,0.1,,0.4,,,,,,,,,,,,
1/26/21,14,15.2,83.9,0.5,,0.4,,,,,,,,,,,,
1/26/21,14,,63.6,3.3,,1.3,,,,31.8,,,,,,,,
1/27/21,12,12.9,9.6,0.2,76.5,0.8,,,0.0,,,,,,,,,
1/27/21,11,10.2,,0.1,84.7,5.1,,,,,,,,,,,,
1/27/21,6,8.7,20.1,0.1,69.5,1.6,,,0.1,,,,,,,,,
1/27/21,16,21.7,2.0,0.4,76.4,1.6,,,,46.8,,,,,,,,
1/27/21,8,,10.9,0.1,88.9,0.1,,,,,,,,,,,,
1/27/21,2,35.7,,0.1,63.8,0.4,,,,,,,,,,,,
1/27/21,13,11.6,2.0,0.1,80.2,0.1,3.4,,2.6,0.0,,,,,,,,
1/27/21,5,19.7,9.9,0.1,69.7,0.7,,,0.0,,,,,,,,,
1/27/21,18,54.8,44.7,0.2,,0.3,,,,,,,,,,,,
1/27/21,14,85.9,13.5,0.4,,0.3,,,,,,,,,,,,
1/27/21,14,,97.2,0.9,,1.8,,,,,,,,,,,,
1/28/21,4,,,0.1,81.5,18.3,,,,,,,,,,,,
1/28/21,12,26.1,7.8,0.8,65.2,0.2,,,,,,,,,,,,
1/28/21,11,16.2,1.8,0.2,67.4,14.4,,,0.1,,,,,,,,,
1/28/21,1,10.1,3.8,0.1,84.9,0.8,0.3,,0.1,0.1,,4.5,,,,,,
1/28/21,16,0.4,0.7,0.0,96.5,2.5,,,,,,,,,,,,
1/28/21,13,24.4,,0.5,75.1,0.1,,,,,,,,,,,,
1/28/21,6,8.4,29.0,0.1,62.3,0.2,,,,,,,,,,,,
1/28/21,18,71.4,28.2,0.2,,0.2,,,,,,,,,,,,
1/28/21,5,11.6,13.9,0.1,69.2,5.1,,,,,,,,,,,,
1/28/21,14,16.3,81.3,0.2,,0.4,,,1.8,,,,,,,,,
1/28/21,14,55.6,39.3,2.6,,2.6,,,,,,,,,,,,
1/28/21,11,,,7.6,,92.4,,,,,,,,,,,,
1/28/21,16,,18.9,,,81.1,,,,,,,,,,,,
1/28/21,14,53.3,43.9,1.6,,1.2,,,,,,,,,,,,
1/28/21,13,49.2,,2.1,,48.8,,,,,,,,,,,,
1/29/21,4,4.2,0.0,0.1,82.5,12.0,,1.2,,,,,,,,,,
1/29/21,12,19.5,7.5,0.1,72.8,0.1,,,,,,,,,,,,
1/29/21,11,2.3,2.4,0.3,86.9,8.2,,,,,,,,,,,,
1/29/21,1,16.9,1.7,0.1,76.4,4.9,,,,,,,,,,,,
1/29/21,2,29.0,57.6,0.1,55.7,1.2,,0.2,,13.9,,,,,,,,
1/29/21,16,13.1,3.2,,83.6,0.1,,,,,,,,0.1,,,,
1/29/21,7,,2.2,0.2,50.5,0.9,,,,46.3,,,,,,,,
1/29/21,13,9.7,1.1,0.1,58.8,2.5,,,,27.8,,,,,,,,
1/29/21,5,14.9,18.8,0.1,65.7,0.6,,,0.0,0.0,,,,,,,,
1/29/21,14,10.7,88.8,0.4,,0.2,,,,,,,,,,,,
1/29/21,18,89.8,9.4,0.5,,0.3,,,,,,,,,,,,
1/29/21,14,49.0,50.4,0.5,,0.2,,,,,,,,,,,,
2/1/21,11,,,,82.5,17.5,,,,,,,0.0,,,,,
2/1/21,16,35.3,4.4,,46.6,13.7,,,,,,,,,,,,
2/1/21,12,54.6,31.6,,,9.8,,,,4.1,,,,,,,,
2/1/21,3,6.1,13.0,,79.7,1.2,,,10.1,,,,,,,,,
2/1/21,2,24.5,9.1,0.1,63.2,0.2,,,3.0,25.9,,,0.0,,,,,
2/1/21,6,10.0,23.0,,52.3,0.4,,,,14.2,,,,,,,,
2/1/21,18,51.3,48.5,,,0.2,,,,,,,0.0,,,,,
2/1/21,14,,99.3,,,0.7,,,,,,,,,,,,
2/1/21,5,29.0,66.3,,,4.7,,,,,,,0.0,,,,,
2/1/21,11,,,64.3,,35.7,,,,,,,,,,,,
2/1/21,2,,,45.0,,55.0,,,,,,,,,,,,
2/1/21,3,,5.1,33.3,,66.7,,,,,,,,,,,,
2/1/21,11,,,44.4,,55.6,,,,,,,,,,,,
2/1/21,16,76.9,0.5,0.4,,22.2,,,,,,,,,,,,
2/1/21,6,11.8,60.2,0.2,,4.9,,,,22.9,,,,,,,,
2/1/21,11,51.3,,11.1,,37.6,,,,,,,,,,,,
2/1/21,3,31.3,66.5,0.2,,2.0,,,,,,,,,,,,
2/1/21,2,77.2,,0.7,,5.5,,,,16.6,,,,,,,,
2/1/21,11,89.2,,4.5,,6.3,,,,,,,,,,,,
2/1/21,8,,,4.9,,95.1,,,,,,,,,,,,
2/1/21,4,,,60.0,,40.0,,,,,,,,,,,,
2/1/21,13,,32.9,3.7,,63.4,,,,,,,,,,,,
2/1/21,12,63.6,5.8,0.9,,29.7,,,,,,,,,,,,
2/1/21,5,38.5,60.2,0.3,,1.0,,,,,,,,,,,,
2/1/21,14,65.7,33.9,0.3,,0.2,,,,,,,,,,,,
2/2/21,11,12.5,,0.1,75.2,12.2,,,,,,,,,,,,
2/2/21,16,12.5,3.4,0.1,52.5,6.9,,,,,,24.6,,,,,,
2/2/21,1,5.7,5.7,0.0,53.4,2.3,0.0,,,32.7,,,,,,,,
2/2/21,2,22.6,15.1,0.1,44.8,1.2,,,0.3,31.3,,,,,,,,
2/2/21,8,3.4,14.6,0.1,73.5,0.1,,,0.0,8.3,,30.7,,,,,,
2/2/21,4,2.7,2.0,0.1,68.0,0.2,,,,,,27.1,,,,,,
2/2/21,5,10.9,85.8,0.1,,3.2,,,,,,,,,,,,
2/2/21,18,50.0,49.1,0.6,,0.3,,,,,,,,,,,,
2/2/21,14,39.7,57.7,1.3,,1.3,,,,,,,,,,,,
2/2/21,14,27.8,71.1,0.6,,0.6,,,,,,,,,,,,
2/3/21,16,4.5,0.6,0.6,74.3,20.1,,,,0.0,,,,,,,,
2/3/21,11,18.2,,0.1,66.1,15.3,,0.4,,,,,,,,,,
2/3/21,1,10.6,9.9,0.2,57.7,4.4,,,,17.2,,,,,,,,
2/3/21,2,35.5,3.2,0.3,58.3,0.7,,,0.4,1.7,,,,,,,,
2/3/21,12,27.3,12.8,0.2,56.8,0.4,,,2.5,6.0,,22.9,,,,,,
2/3/21,13,14.0,10.5,0.2,64.8,1.3,,,6.5,2.7,,,,,,,,
2/3/21,4,,,2.8,96.1,0.2,,,0.8,,,,,,,,,
2/3/21,18,28.9,12.4,0.2,,0.2,,,,,,58.3,,,,,,
2/3/21,5,19.1,9.9,0.1,70.2,0.7,,,0.1,,,,,,,,,
2/3/21,14,25.4,73.2,0.8,,0.6,,,,,,,,,,,,
2/3/21,14,59.7,36.8,2.0,,1.6,,,,,,,,,,,,
2/4/21,11,7.0,3.8,1.0,46.4,8.5,,,,33.3,,,,,,,,
2/4/21,16,11.9,15.4,0.1,61.8,10.9,,,,,,,,,,,,
2/4/21,2,30.4,,0.1,56.2,0.4,,,,,,12.9,,,,,,
2/4/21,12,76.8,18.2,0.2,,0.4,,,4.4,,,,,,,,,
2/4/21,4,3.7,,0.1,95.0,0.3,,0.8,,,,,,,,,,
2/4/21,8,5.1,6.5,0.1,53.4,0.0,,,,,,34.9,,,,,,
2/4/21,3,11.3,34.0,0.1,54.5,0.2,,,,0.0,,,,,,,,
2/4/21,13,7.7,4.9,0.1,71.8,1.4,,,2.4,11.8,,,,,,,,
2/4/21,18,67.8,28.6,0.5,,0.2,,,2.9,,,,,,,,,
2/4/21,14,19.0,79.3,0.6,,0.4,,,0.6,,,,,,,,,
2/4/21,5,35.7,16.3,0.1,47.9,0.1,,,,0.0,,,,,,,,
2/4/21,6,69.3,29.1,0.3,,1.2,,,,,,,,,,,,
2/4/21,14,31.2,67.5,0.6,,0.7,,,,,,,,,,,,
2/5/21,16,3.1,1.0,0.1,77.8,18.0,,,0.1,,,,,,,,,
2/5/21,11,2.5,,0.1,52.8,8.2,,,,36.4,,,,,,,,
2/5/21,2,31.1,,0.2,59.7,1.6,,,0.1,7.3,,,,,,,,
2/5/21,12,13.2,2.9,0.1,75.2,0.2,,,0.0,3.2,,5.2,,,,,,
2/5/21,8,9.3,9.8,0.5,70.6,0.1,,,2.0,,,7.8,,,,,,
2/5/21,4,9.1,1.1,1.6,83.4,0.6,,,,,,4.3,,,,,,
2/5/21,7,,23.0,0.2,73.5,0.1,,,,3.2,,,,,,,,
2/5/21,18,67.3,27.7,4.2,,0.9,,,,,,,,,,,,
2/5/21,14,11.8,87.6,0.4,,0.2,,,,,,,,,,,,
2/5/21,6,,15.6,0.1,51.2,0.1,,,,30.0,,,,3.1,,,,
2/5/21,16,56.1,21.3,0.3,,0.4,,,,,,21.9,,,,,,
2/5/21,14,23.5,74.7,0.5,,0.3,,,,1.0,,,,,,,,
2/8/21,4,7.9,,0.1,69.3,14.6,,,0.0,8.1,,,,,,,,
2/8/21,12,24.4,9.7,0.1,55.7,0.2,,,0.1,,,9.9,,,,,,
2/8/21,11,6.8,,0.1,45.0,6.9,,,,41.2,,,,,,,,
2/8/21,2,,,6.1,,93.9,,,,,,,,,,,,
2/8/21,3,15.3,71.7,0.8,,0.4,,,,11.8,,,,,,,,
2/8/21,2,36.7,,0.1,56.2,0.3,,,3.6,3.1,,,,,,,,
2/8/21,8,56.7,,1.3,,1.6,,,,,1.0,39.4,,,,,,
2/8/21,16,8.1,6.5,0.0,72.2,0.1,,,,,,13.1,,,,,,
2/8/21,18,,99.2,0.2,,0.6,,,,,,,,,,,,
2/8/21,6,,,27.3,,72.7,,,,,,,,,,,,
2/8/21,6,,,,,100.0,,,,,,,,,,,,
2/8/21,14,7.9,99.4,0.4,58.5,0.2,,,,11.3,,,,,,,,
2/8/21,7,14.9,11.5,0.1,49.0,3.4,,,,21.2,,,,,,,,
2/8/21,8,,32.8,0.2,66.9,0.2,,,,,,,,,,,,
2/8/21,3,2.8,17.8,0.1,70.4,0.5,,,,8.4,,,,,,,,
2/8/21,18,,15.5,0.6,,83.9,,,,,,,,,,,,
2/8/21,14,,86.9,0.6,,0.2,,,,12.3,,,,,,,,
2/9/21,4,3.9,2.2,0.1,56.4,11.3,,26.2,,,,,,,,,,
2/9/21,12,21.3,3.6,0.1,69.3,5.7,,,,,,,,,,,,
2/9/21,11,5.2,,0.1,67.2,4.8,,0.7,,19.5,2.6,,,,,,,
2/9/21,1,6.5,12.3,0.1,66.1,3.0,1.8,,,10.2,,,,,,,,
2/9/21,16,7.5,14.9,0.1,75.4,2.1,,,,,,,,,,,,
