Agent_ID,LOG_ON_DATE_TIME,REASON_CODE,DURATION
3,2021-01-14 08:29:00,Extended Wrap Up[10048],1527
3,2021-01-14 08:29:00,Go To Logout[10025],5
3,2021-01-14 08:29:00,Lunch[10001],3593
3,2021-01-14 08:29:00,Outbound Calls[32],9
8,2021-01-14 08:29:00,Extended Wrap Up[10048],270
8,2021-01-14 08:29:00,Lunch[10001],4
2,2021-01-14 08:31:00,Administration[11043],255
2,2021-01-14 08:31:00,Break[10003],909
2,2021-01-14 08:31:00,Lunch[10001],486
6,2021-01-14 08:32:00,Extended Wrap Up[10048],1291
6,2021-01-14 08:32:00,Lunch[10001],556
13,2021-01-14 08:35:00,Break[10003],1016
18,2021-01-14 09:07:00,Break[10003],936
18,2021-01-14 09:07:00,Computer Issues[10030],69
18,2021-01-14 09:07:00,Extended Wrap Up[10048],764
18,2021-01-14 09:07:00,Go To Logout[10025],6
18,2021-01-14 09:07:00,Outbound Calls[32],238
5,2021-01-14 09:08:00,Break[10003],557
5,2021-01-14 09:08:00,Extended Wrap Up[10048],676
14,2021-01-14 09:10:00,Extended Wrap Up[10048],249
14,2021-01-14 12:11:00,Computer Issues[10030],35
14,2021-01-14 12:11:00,Extended Wrap Up[10048],22
14,2021-01-14 12:11:00,Go To Logout[10025],6
13,2021-01-14 12:15:00,Computer Issues[10030],99
13,2021-01-14 12:15:00,Extended Wrap Up[10048],60
13,2021-01-14 12:15:00,Lunch[10001],190
1,2021-01-14 12:17:00,Break[10003],376
1,2021-01-14 12:17:00,Go To Logout[10025],4
1,2021-01-14 12:17:00,Lunch[10001],13
8,2021-01-14 12:17:00,Extended Wrap Up[10048],126
8,2021-01-14 12:17:00,Go To Logout[10025],5
4,2021-01-14 12:18:00,Go To Logout[10025],8
4,2021-01-14 12:18:00,RONA[32767],75
2,2021-01-14 12:19:00,Lunch[10001],1626
5,2021-01-14 12:21:00,Extended Wrap Up[10048],271
5,2021-01-14 12:21:00,Lunch[10001],449
18,2021-01-14 12:28:00,Go To Logout[10025],7
14,2021-01-14 12:31:00,Extended Wrap Up[10048],270
14,2021-01-14 12:31:00,Go To Logout[10025],7
16,2021-01-14 13:09:00,Break[10003],69
6,2021-01-14 13:12:00,Extended Wrap Up[10048],46
4,2021-01-14 13:17:00,Break[10003],175
4,2021-01-14 13:17:00,Go To Logout[10025],23
16,2021-01-14 13:18:00,Break[10003],1049
16,2021-01-14 13:18:00,Extended Wrap Up[10048],199
16,2021-01-14 13:18:00,Go To Logout[10025],2
6,2021-01-14 13:19:00,Extended Wrap Up[10048],1115
6,2021-01-14 13:19:00,Go To Logout[10025],3
8,2021-01-14 13:21:00,Extended Wrap Up[10048],128
8,2021-01-14 13:21:00,Go To Logout[10025],5
2,2021-01-14 13:24:00,Break[10003],770
2,2021-01-14 13:24:00,Extended Wrap Up[10048],284
2,2021-01-14 13:24:00,Go To Logout[10025],5
5,2021-01-14 14:03:00,Break[10003],136
5,2021-01-14 14:03:00,Extended Wrap Up[10048],867
14,2021-01-14 14:05:00,Break[10003],361
14,2021-01-14 14:05:00,Extended Wrap Up[10048],125
14,2021-01-14 14:05:00,Go To Logout[10025],4
13,2021-01-14 14:07:00,Break[10003],780
13,2021-01-14 14:07:00,Extended Wrap Up[10048],115
13,2021-01-14 14:07:00,Go To Logout[10025],3
4,2021-01-15 07:48:00,Break[10003],144
4,2021-01-15 07:48:00,Go To Logout[10025],4
4,2021-01-15 07:48:00,Lunch[10001],10
4,2021-01-15 07:48:00,RONA[32767],1
12,2021-01-15 08:01:00,Break[10003],1097
12,2021-01-15 08:01:00,Extended Wrap Up[10048],87
12,2021-01-15 08:01:00,Go To Logout[10025],4
12,2021-01-15 08:01:00,Lunch[10001],84
12,2021-01-15 08:01:00,RONA[32767],3
11,2021-01-15 08:09:00,Break[10003],670
11,2021-01-15 08:09:00,Extended Wrap Up[10048],26
11,2021-01-15 08:09:00,Go To Logout[10025],4
11,2021-01-15 08:09:00,Lunch[10001],17
1,2021-01-15 08:26:00,Break[10003],908
1,2021-01-15 08:26:00,Extended Wrap Up[10048],79
1,2021-01-15 08:26:00,Go To Logout[10025],3
1,2021-01-15 08:26:00,Lunch[10001],157
16,2021-01-15 08:28:00,Break[10003],576
16,2021-01-15 08:28:00,Extended Wrap Up[10048],2015
16,2021-01-15 08:28:00,Go To Logout[10025],2
16,2021-01-15 08:28:00,Lunch[10001],281
16,2021-01-15 08:28:00,Outbound Calls[32],7
3,2021-01-15 08:30:00,Break[10003],626
3,2021-01-15 08:30:00,Extended Wrap Up[10048],999
3,2021-01-15 08:30:00,Go To Logout[10025],3
3,2021-01-15 08:30:00,Lunch[10001],16
3,2021-01-15 08:30:00,Outbound Calls[32],5
2,2021-01-15 08:30:00,Administration[11043],187
2,2021-01-15 08:30:00,Break[10003],1680
2,2021-01-15 08:30:00,Extended Wrap Up[10048],86
2,2021-01-15 08:30:00,Go To Logout[10025],6
2,2021-01-15 08:30:00,Lunch[10001],2738
13,2021-01-15 08:32:00,Break[10003],1316
13,2021-01-15 08:32:00,Extended Wrap Up[10048],96
